dataset,backend,estimators,max_depth,accuracy,train_time,predict_time,threads,nodes
breast_cancer,seq,64,0,1.0,0.517482,0.00123181,1,1
breast_cancer,omp,64,0,1.0,0.264885,0.000794593,2,1
breast_cancer,ff,64,0,1.0,0.272282,0.00370747,2,1
breast_cancer,omp,64,0,1.0,0.135871,0.000467454,4,1
breast_cancer,ff,64,0,1.0,0.137367,0.003161,4,1
breast_cancer,omp,64,0,0.998243,0.068868,0.000299893,8,1
breast_cancer,ff,64,0,1.0,0.0701097,0.0102633,8,1
breast_cancer,omp,64,0,1.0,0.0365314,0.00025076,16,1
breast_cancer,ff,64,0,1.0,0.0362961,0.00301011,16,1
breast_cancer,seq,128,0,1.0,1.04364,0.00236591,1,1
breast_cancer,omp,128,0,1.0,0.523343,0.00140247,2,1
breast_cancer,ff,128,0,1.0,0.533558,0.00400541,2,1
breast_cancer,omp,128,0,1.0,0.265382,0.000830133,4,1
breast_cancer,ff,128,0,1.0,0.263927,0.00364283,4,1
breast_cancer,omp,128,0,1.0,0.13487,0.000559696,8,1
breast_cancer,ff,128,0,1.0,0.136962,0.00338782,8,1
breast_cancer,omp,128,0,1.0,0.0703074,0.000411541,16,1
breast_cancer,ff,128,0,1.0,0.0708017,0.0042182,16,1
breast_cancer,seq,256,0,1.0,2.10407,0.0046617,1,1
breast_cancer,omp,256,0,1.0,1.0539,0.0027555,2,1
breast_cancer,ff,256,0,1.0,1.07265,0.00319398,2,1
breast_cancer,omp,256,0,1.0,0.534454,0.00193303,4,1
breast_cancer,ff,256,0,1.0,0.536181,0.0035627,4,1
breast_cancer,omp,256,0,1.0,0.275554,0.000931825,8,1
breast_cancer,ff,256,0,1.0,0.280913,0.0036976,8,1
breast_cancer,omp,256,0,1.0,0.141752,0.000648954,16,1
breast_cancer,ff,256,0,1.0,0.139968,0.00663383,16,1
breast_cancer,seq,512,0,1.0,4.19337,0.00968105,1,1
breast_cancer,omp,512,0,1.0,2.10259,0.00537283,2,1
breast_cancer,ff,512,0,1.0,2.12219,0.0036022,2,1
breast_cancer,omp,512,0,1.0,1.06394,0.0032326,4,1
breast_cancer,ff,512,0,1.0,1.06432,0.0164391,4,1
breast_cancer,omp,512,0,1.0,0.539139,0.00182841,8,1
breast_cancer,ff,512,0,1.0,0.552248,0.00391714,8,1
breast_cancer,omp,512,0,1.0,0.269375,0.00146022,16,1
breast_cancer,ff,512,0,1.0,0.269743,0.0069251,16,1
